"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         215,      -5.718628722,       -3.60453984,      -3.805020858,      -1.471631248,      -3.019005031,       0.903191584
          0,           0,         216,      -5.719369498,      -3.606278717,      -3.805318832,      -1.472278557,      -3.022513756,       0.899634333
          0,           0,         217,      -5.720125287,      -3.608026565,      -3.805624919,      -1.472945778,       -3.02600705,      0.8960937495
          0,           0,         218,       -5.72089639,      -3.609783639,      -3.805939613,      -1.473638992,      -3.029485043,      0.8925696515
          0,           0,         219,      -5.721682486,      -3.611549652,      -3.806263218,      -1.474345671,      -3.032947866,      0.8890617447
          0,           0,         220,      -5.722483424,      -3.613324009,      -3.806595979,      -1.475076378,      -3.036395646,      0.8855700085
          0,           0,         221,      -5.723299299,       -3.61510677,      -3.806938266,      -1.475823753,      -3.039828509,      0.8820933015
          0,           0,         222,      -5.724129669,      -3.616897283,      -3.807290177,       -1.47658774,      -3.043246579,      0.8786325796
          0,           0,         223,      -5.724974348,      -3.618695526,      -3.807651954,      -1.477374748,       -3.04664998,      0.8751879234
          0,           0,         224,      -5.725833242,       -3.62050146,      -3.808023801,      -1.478186258,      -3.050038834,      0.8717590751
          0,           0,         225,      -5.726706265,      -3.622315056,      -3.808405781,      -1.479013478,      -3.053413259,      0.8683457511
          0,           0,         226,      -5.727593192,      -3.624135875,      -3.808797911,      -1.479852591,      -3.056773375,      0.8649471079
          0,           0,         227,      -5.728493927,      -3.625965164,      -3.809200188,      -1.480707096,      -3.060119298,      0.8615640006
          0,           0,         228,       -5.72940806,      -3.627812918,       -3.80961265,      -1.481556174,      -3.063451143,      0.8581964655
          0,           0,         229,      -5.730334795,       -3.62967467,      -3.810035025,      -1.482381901,      -3.066769025,      0.8548445647
          0,           0,         230,      -5.731273905,      -3.631530552,      -3.810466849,      -1.483258295,      -3.070073056,      0.8515082951
          0,           0,         231,      -5.732226329,      -3.633381755,      -3.810909136,      -1.484211159,      -3.073363349,      0.8481870116
          0,           0,         232,      -5.733192006,      -3.635229903,      -3.811362809,      -1.485203213,      -3.076640014,      0.8448801677
          0,           0,         233,      -5.734170791,      -3.637076263,      -3.811827252,      -1.486206726,       -3.07990316,      0.8415876951
          0,           0,         234,      -5.735162734,      -3.638921712,       -3.81230162,      -1.487224685,      -3.083152892,      0.8383094078
          0,           0,         235,      -5.736168048,      -3.640766678,      -3.812785449,      -1.488258131,      -3.086389319,      0.8350454209
          0,           0,         236,      -5.737186853,      -3.642611492,      -3.813278348,      -1.489302425,      -3.089612544,      0.8317969278
          0,           0,         237,      -5.738219157,      -3.644456272,      -3.813779851,      -1.490355239,      -3.092822671,      0.8285637267
          0,           0,         238,      -5.739264928,      -3.646301003,      -3.814289516,      -1.491416489,      -3.096019802,      0.8253451128
          0,           0,         239,      -5.740324154,      -3.648145559,      -3.814806905,        -1.4924863,      -3.099204039,      0.8221400781
